country,title,desc,pubdate,url,lat,lng
United States,Prayers held for US church victims,Prayers are held in South Carolina and across the US after the killing of nine people at an African-American church in Charleston.,Fri 19 Jun 2015 04:37:56 GMT,http://www.bbc.co.uk/news/world-us-canada-33195111,32.7765656,-79.9309216
Greece,Emergency summit called over Greece,Leaders from eurozone nations are to hold an emergency summit on Monday after the latest attempts to resolve the Greek debt crisis failed.,Fri 19 Jun 2015 03:41:26 GMT,http://www.bbc.co.uk/news/business-33194917,39.0,22.0
Denmark,Danish opposition wins election,Denmark's opposition beats the ruling coalition in the general election with an anti-immigration party becoming the second largest in parliament.,Fri 19 Jun 2015 03:42:09 GMT,http://www.bbc.co.uk/news/world-europe-33171549,56.0,10.0
United States,Brian Williams to join MSNBC,US news anchor Brian Williams will not return to NBC Nightly News but will join cable news network MSNBC in an undisclosed role.,Thu 18 Jun 2015 22:13:47 GMT,http://www.bbc.co.uk/news/world-us-canada-33194177,39.76,-98.5
,PM warns of 'quietly condoning' IS,Prime Minister David Cameron is expected to warn of the dangers posed by those who quietly condone Islamic State militants' extremist ideology.,Fri 19 Jun 2015 05:39:18 GMT,http://www.bbc.co.uk/news/uk-33192306,None,None
Venezuela,Brazil senators flee Venezuela attack,A group of eight Brazilian senators on a visit to Venezuela to meet a jailed opposition leader say they had to flee after their bus was attacked.,Fri 19 Jun 2015 02:55:56 GMT,http://www.bbc.co.uk/news/world-latin-america-33195332,8.0,-66.0
India,Toxic alcohol kills 27 in India,At least 27 people die after consuming toxic alcohol in India's western city of Mumbai local police say.,Fri 19 Jun 2015 04:40:58 GMT,http://www.bbc.co.uk/news/world-asia-india-33179175,19.07282592774,72.88261413574219
United States,DNA reignites ancient skeleton row,DNA tests show an ancient skeleton known as Kennewick Man is related to modern Native Americans - reigniting a debate over whether his bones should be returned to local tribes and reburied.,Thu 18 Jun 2015 17:16:02 GMT,http://www.bbc.co.uk/news/science-environment-33170655,46.2112458,-119.1372338
South Korea,Thailand confirms first Mers case,Thailand confirms its first case of Middle East Respiratory Syndrome (Mers) the deadly virus that has killed 24 people in South Korea.,Fri 19 Jun 2015 06:04:50 GMT,http://www.bbc.co.uk/news/world-asia-33195201,36.5,127.75
Saint Helena,Elephant poaching hotspots identified,Most illegally poached African elephant ivory can be traced back to just two areas of Africa research shows.,Thu 18 Jun 2015 20:54:14 GMT,http://www.bbc.co.uk/news/science-environment-33186445,-15.9833333,-5.65
Singapore,Hijacked Malaysian oil tanker freed,An oil tanker that was hijacked by pirates last week off Singapore's coast has been released the Malaysian Navy says.,Fri 19 Jun 2015 05:01:59 GMT,http://www.bbc.co.uk/news/world-asia-33195382,1.2866667,103.8525
Sierra Leone,Royals attend Waterloo commemoration,Royal Family members attend a St Paul's Cathedral service commemorating the 200th anniversary of the Battle of Waterloo.,Thu 18 Jun 2015 14:57:14 GMT,http://www.bbc.co.uk/news/uk-33178490,8.338904,-13.070912
United States,VIDEO: 'It's in our power to act on gun crime',US President Barack Obama has responded to a shooting at a church in Charleston. saying the US should recognise that this type of mass violence does not happen in other advanced countries'.',Thu 18 Jun 2015 16:59:31 GMT,http://www.bbc.co.uk/news/world-us-canada-33192128,38.3498195,-81.6326235
Myanmar Burma,VIDEO: On the tense India-Myanmar border,India claims a cross-border raid against rebels in Myanmar last week was a big success but the lack of detail about the operation has fuelled speculation.,Fri 19 Jun 2015 01:57:24 GMT,http://www.bbc.co.uk/news/world-asia-33194119,21.0,96.0
Syria,VIDEO: Is Iran paying Afghan mercenaries?,It is thought hundreds of unemployed men from Afghanistan supported by the Iranian government have taken up arms alongside President Assad's forces in Syria.,Fri 19 Jun 2015 05:57:54 GMT,http://www.bbc.co.uk/news/world-middle-east-33195694,35.0,38.0
